Taxon,Strain,Accession ID,Originating Laboratory,Submitting Laboratory,Authors
Colombia/GUR-0454/2020|2020-03-28,Colombia/GUR-0454/2020,EPI_ISL_447744,"Grupo de Investigaciones Microbiológicas-UR (GIMUR), Departamento de Biología, Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia","Grupo de Investigaciones Microbiológicas-UR (GIMUR), Departamento de Biología, Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA",Juan David Ramírez et al
Colombia/GUV-92087/2020|2020-03-31,Colombia/GUV-92087/2020,EPI_ISL_447760,"Instituto Nacional de Salud, Bogotá, Colombia","Grupo de Investigaciones Microbiológicas-UR (GIMUR), Departamento de Biología, Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA",Juan David Ramírez et al
Colombia/GUV-92252/2020|2020-04-01,Colombia/GUV-92252/2020,EPI_ISL_447767,"Instituto Nacional de Salud, Bogotá, Colombia","Grupo de Investigaciones Microbiológicas-UR (GIMUR), Departamento de Biología, Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA",Juan David Ramírez et al
Colombia/GVI-98087/2020|2020-04-05,Colombia/GVI-98087/2020,EPI_ISL_447812,"Instituto Nacional de Salud, Bogotá, Colombia","Grupo de Investigaciones Microbiológicas-UR (GIMUR), Departamento de Biología, Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA",Juan David Ramírez et al
Colombia/GVI97447/2020|2020-04-06,Colombia/GVI97447/2020,EPI_ISL_447815,"Instituto Nacional de Salud, Bogotá, Colombia","Grupo de Investigaciones Microbiológicas-UR (GIMUR), Departamento de Biología, Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA",Juan David Ramírez et al
Colombia/INS-103303/2020|2020-04-26,Colombia/INS-103303/2020,EPI_ISL_456154,Instituto Nacional de Salud - Unidad de Secuenciación y Análisis Genómico,"Instituto Nacional de Salud, Universidad Cooperativa de Colombia, Instituto Alexander von Humboldt, Imperial College-London, London School of Hygiene & Tropical Medicine",Katherine Laiton-Donato et al
Colombia/INS-79489/2020|2020-03-12,Colombia/INS-79489/2020,EPI_ISL_456123,Instituto Nacional de Salud - Unidad de Secuenciación y Análisis Genómico,"Instituto Nacional de Salud, Universidad Cooperativa de Colombia, Instituto Alexander von Humboldt, Imperial College-London, London School of Hygiene & Tropical Medicine",Katherine Laiton-Donato et al
Colombia/INS-82307/2020|2020-03-19,Colombia/INS-82307/2020,EPI_ISL_456143,Instituto Nacional de Salud - Unidad de Secuenciación y Análisis Genómico,"Instituto Nacional de Salud, Universidad Cooperativa de Colombia, Instituto Alexander von Humboldt, Imperial College-London, London School of Hygiene & Tropical Medicine",Katherine Laiton-Donato et al
Costa_Rica/01/2020|2020-03-16,Costa_Rica/01/2020,EPI_ISL_434533,Area de Salud Alajuela Sur,"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud",Duarte et al
Costa_Rica/06/2020|2020-03-25,Costa_Rica/06/2020,EPI_ISL_434539,Area de Salud Orotina,"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud",Duarte et al
Croatia/592_Osijek/2020|2020-03-13,Croatia/592_Osijek/2020,EPI_ISL_454578,"University Hospital for Infectious Diseases ""Dr. Fran Mihaljević"", Research Unit","University of Zagreb, Centre for research and knowledge transfer in biotechnology",Ivan-Christian Kurolt et al
Croatia/OY-S1new/2020|2020-04-09,Croatia/OY-S1new/2020,EPI_ISL_454574,nstitute for Public Health,Laboratory for advanced genomics,Filip Rokić et al
Cyprus/001/2020|2020-03-11,Cyprus/001/2020,EPI_ISL_463741,"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics","Department of Molecular Virology, Cyprus Institute of Neurology and Genetics",Jan Richter et al
Cyprus/002/2020|2020-03-22,Cyprus/002/2020,EPI_ISL_463742,"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics","Department of Molecular Virology, Cyprus Institute of Neurology and Genetics",Jan Richter et al
Cyprus/004/2020|2020-03-23,Cyprus/004/2020,EPI_ISL_463744,"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics","Department of Molecular Virology, Cyprus Institute of Neurology and Genetics",Jan Richter et al
Cyprus/006/2020|2020-04-11,Cyprus/006/2020,EPI_ISL_463746,"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics","Department of Molecular Virology, Cyprus Institute of Neurology and Genetics",Jan Richter et al
Cyprus/007/2020|2020-04-17,Cyprus/007/2020,EPI_ISL_463747,"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics","Department of Molecular Virology, Cyprus Institute of Neurology and Genetics",Jan Richter et al
Cyprus/008/2020|2020-04-27,Cyprus/008/2020,EPI_ISL_463748,"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics","Department of Molecular Virology, Cyprus Institute of Neurology and Genetics",Jan Richter et al
Czech_Republic/951/2020|2020-03-01,Czech_Republic/951/2020,EPI_ISL_414477,The National Institute of Public Health Center for Epidemiology and Microbiology,State Veterinary Institute Prague,Alexander Nagy et al
Czech_Republic/ChVir1630/2020|2020-02-29,Czech_Republic/ChVir1630/2020,EPI_ISL_416742,"NRL for Influenza, Centrum Epidemiology and Microbiology of National Institute of Public Health, Czech Republic","Charite Universitaetsmedizin Berlin, Institute of Virology",Victor M Corman et al
Czech_Republic/ChVir1912/2020|2020-03-05,Czech_Republic/ChVir1912/2020,EPI_ISL_416743,"NRL for Influenza, Centrum Epidemiology and Microbiology of National Institute of Public Health, Czech Republic","Charite Universitaetsmedizin Berlin, Institute of Virology",Victor M Corman et al
Czech_Republic/NRL_2554/2020|2020-03-11,Czech_Republic/NRL_2554/2020,EPI_ISL_471547,The National Institute of Public Health,State Veterinary Institute Prague and The National Institute of Public Health,Nagy et al
Denmark/ALAB-HH-168/2020|2020-04-08,Denmark/ALAB-HH-168/2020,EPI_ISL_452038,"Department of Clinical Microbiology, Copenhagen University Hospital, Hvidovre, Kettegaard Alle 30, 2650 Hvidovre.","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al
Denmark/ALAB-HH-266/2020|2020-05-09,Denmark/ALAB-HH-266/2020,EPI_ISL_452097,"Department of Clinical Microbiology, Copenhagen University Hospital, Hvidovre, Kettegaard Alle 30, 2650 Hvidovre.","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al
Denmark/ALAB-HH82/2020|2020-03-15,Denmark/ALAB-HH82/2020,EPI_ISL_429323,"Department of Clinical Microbiology, Copenhagen University Hospital, Hvidovre, Kettegaard Alle 30, 2650 Hvidovre.","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al
Denmark/ALAB-SSI-1382/2020|2020-04-03,Denmark/ALAB-SSI-1382/2020,EPI_ISL_444850,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al
Denmark/ALAB-SSI-1393/2020|2020-04-05,Denmark/ALAB-SSI-1393/2020,EPI_ISL_444857,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al
Denmark/ALAB-SSI143/2020|2020-03-09,Denmark/ALAB-SSI143/2020,EPI_ISL_429361,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al
Denmark/ALAB-SSI162/2020|2020-03-09,Denmark/ALAB-SSI162/2020,EPI_ISL_429377,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al
Denmark/ALAB-SSI512/2020|2020-03-25,Denmark/ALAB-SSI512/2020,EPI_ISL_429580,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al
DRC/04188/2020|2020-04-25,DRC/04188/2020,EPI_ISL_471413,"Viral Respiratory Lab, National Institute for Biomedical Research (INRB)","Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)",Placide Mbala-Kingebeni et al
DRC/1376/2020|2020-04-07,DRC/1376/2020,EPI_ISL_431012,"Viral Respiratory Lab, National Institute for Biomedical Research (INRB)","Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)",Placide Mbala-Kingebeni et al
DRC/1422/2020|2020-04-08,DRC/1422/2020,EPI_ISL_434680,"Viral Respiratory Lab, National Institute for Biomedical Research (INRB)","Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)",Placide Mbala-Kingebeni et al
DRC/3089/2020|2020-04-19,DRC/3089/2020,EPI_ISL_437358,"Viral Respiratory Lab, National Institute for Biomedical Research (INRB)","Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)",Placide Mbala-Kingebeni et al
DRC/KN-13/2020|2020-03-09,DRC/KN-13/2020,EPI_ISL_414647,"Viral Respiratory Lab, National Institute for Biomedical Research (INRB)","Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)",Placide Mbala-Kingebeni et al
Ecuador/HEE-01/2020|2020-03-09,Ecuador/HEE-01/2020,EPI_ISL_417482,"Institute of Microbiology, Universidad San Francisco de Quito","Institute of Microbiology, Universidad San Francisco de Quito",Sully Márquez et al
Ecuador/HGSQ-USFQ-018/2020|2020-03-30,Ecuador/HGSQ-USFQ-018/2020,EPI_ISL_422563,Institute of Microbiology Universidad San Francisco de Quito,Institute of Microbiology Universidad San Francisco de Quito,Belen Prado-Vivar et al
Ecuador/USFQ-020/2020|2020-04-17,Ecuador/USFQ-020/2020,EPI_ISL_471267,Hospital IESS Babahoyo,"Institute of Microbiology, Universidad San Francisco de Quito",Sully Márquez et al
Ecuador/USFQ-045/2020|2020-04-17,Ecuador/USFQ-045/2020,EPI_ISL_471268,Hospital IESS Babahoyo,"Institute of Microbiology, Universidad San Francisco de Quito",Belén Prado-Vivar et al
Ecuador/USFQ-106/2020|2020-05-19,Ecuador/USFQ-106/2020,EPI_ISL_471271,Hospital Oncológico Solca Núcleo de Quito,"Institute of Microbiology, Universidad San Francisco de Quito",Sully Márquez et al
Ecuador/USFQ-112/2020|2020-05-19,Ecuador/USFQ-112/2020,EPI_ISL_471270,Hospital Oncológico Solca Núcleo de Quito,"Institute of Microbiology, Universidad San Francisco de Quito",Sully Márquez et al
Ecuador/USFQ-707/2020|2020-06-04,Ecuador/USFQ-707/2020,EPI_ISL_471269,Hospital Oncológico Solca Núcleo de Quito,"Institute of Microbiology, Universidad San Francisco de Quito",Sully Márquez et al
Egypt/CUNCI-HGC002-2/2020|2020-05-02,Egypt/CUNCI-HGC002-2/2020,EPI_ISL_469275,Egyptian National Cancer Institute (ENCI),Human Genome Center,Zekri et al
Egypt/CUNCI-HGC006/2020|2020-05-02,Egypt/CUNCI-HGC006/2020,EPI_ISL_468050,Egyptian National Cancer Institute (ENCI),Egyptian National Cancer Institute (ENCI),Zekri et al
Egypt/CUNCI-HGC007-2/2020|2020-05-02,Egypt/CUNCI-HGC007-2/2020,EPI_ISL_468054,Egyptian National Cancer Institute (ENCI),Egyptian National Cancer Institute (ENCI),Zekri et al
Egypt/CUNCI-HGC008/2020|2020-05-02,Egypt/CUNCI-HGC008/2020,EPI_ISL_468044,Egyptian National Cancer Institute (ENCI),Egyptian National Cancer Institute (ENCI),Zekri et al
Egypt/CUNCI-HGC016/2020|2020-05-02,Egypt/CUNCI-HGC016/2020,EPI_ISL_468058,Egyptian National Cancer Institute (ENCI),Egyptian National Cancer Institute (ENCI),Zekri et al
Egypt/NRC-03/2020|2020-03-18,Egypt/NRC-03/2020,EPI_ISL_430819,"Center of Scientific Excellence for Influenza Viruses,National Research Centre (NRC), Egypt.","Center of Scientific Excellence for Influenza Viruses,National Research Centre (NRC), Egypt.",Mohamed Ahmed Ali et al
England/09c/2020|2020-02-09,England/09c/2020,EPI_ISL_412116,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England","Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",Monica Galiano et al
England/200690756/2020|2020-02-08,England/200690756/2020,EPI_ISL_414044,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England","Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",Monica Galiano et al
England/20078003804/2020|2020-02-13,England/20078003804/2020,EPI_ISL_464169,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England","Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",PHE Covid Sequencing Team et al
England/20109097703/2020|2020-03-08,England/20109097703/2020,EPI_ISL_423853,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England","Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",Monica Galiano et al
England/20130071804/2020|2020-02-23,England/20130071804/2020,EPI_ISL_423662,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England","Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",Monica Galiano et al
England/BRIS-126B99/2020|2020-04-10,England/BRIS-126B99/2020,EPI_ISL_459012,"PHE South West Regional Laboratory, National Infection Service",Wellcome Sanger Institute for the COVID-19 Genomics UK Consortium,Stephanie Hutchings et al
England/CAMB-1B196C/2020|2020-05-14,England/CAMB-1B196C/2020,EPI_ISL_452986,"Department of Pathology, University of Cambridge",COVID-19 Genomics UK (COG-UK) Consortium,Luke W Meredith et al
England/CAMB-1B3ED4/2020|2020-06-08,England/CAMB-1B3ED4/2020,EPI_ISL_473453,"Department of Pathology, University of Cambridge",COVID-19 Genomics UK (COG-UK) Consortium,Luke W Meredith et al
England/CAMB-1B45B0/2020|2020-06-02,England/CAMB-1B45B0/2020,EPI_ISL_473478,"Department of Pathology, University of Cambridge",COVID-19 Genomics UK (COG-UK) Consortium,Luke W Meredith et al
England/CAMB-1B495A/2020|2020-06-04,England/CAMB-1B495A/2020,EPI_ISL_473489,"Department of Pathology, University of Cambridge",COVID-19 Genomics UK (COG-UK) Consortium,Luke W Meredith et al
England/CAMB-1B4ADF/2020|2020-06-10,England/CAMB-1B4ADF/2020,EPI_ISL_473493,"Department of Pathology, University of Cambridge",COVID-19 Genomics UK (COG-UK) Consortium,Luke W Meredith et al
England/CAMB-1B4C8E/2020|2020-06-14,England/CAMB-1B4C8E/2020,EPI_ISL_473505,"Department of Pathology, University of Cambridge",COVID-19 Genomics UK (COG-UK) Consortium,Luke W Meredith et al
England/CAMB-7ABF1/2020|2020-04-09,England/CAMB-7ABF1/2020,EPI_ISL_433851,"Department of Pathology, University of Cambridge",COVID-19 Genomics UK (COG-UK) Consortium,Luke W Meredith et al
England/EXET-1375F1/2020|2020-06-03,England/EXET-1375F1/2020,EPI_ISL_471979,University of Exeter,COVID-19 Genomics UK (COG-UK) Consortium,Ben Temperton et al
England/LIVE-9FF81/2020|2020-06-08,England/LIVE-9FF81/2020,EPI_ISL_472077,Liverpool Clinical Laboratories,COVID-19 Genomics UK (COG-UK) Consortium,Sam Haldenby et al
England/LIVE-A0318/2020|2020-05-23,England/LIVE-A0318/2020,EPI_ISL_472102,Liverpool Clinical Laboratories,COVID-19 Genomics UK (COG-UK) Consortium,Sam Haldenby et al
England/LIVE-A063D/2020|2020-05-26,England/LIVE-A063D/2020,EPI_ISL_472123,Liverpool Clinical Laboratories,COVID-19 Genomics UK (COG-UK) Consortium,Sam Haldenby et al
England/NOTT-11137B/2020|2020-05-13,England/NOTT-11137B/2020,EPI_ISL_453652,"Queens Medical Centre, Clinical Microbiology Department / DeepSeq Nottingham",COVID-19 Genomics UK (COG-UK) Consortium,Gemma Clark et al
England/NOTT-1118F4/2020|2020-05-28,England/NOTT-1118F4/2020,EPI_ISL_461939,"Queens Medical Centre, Clinical Microbiology Department / DeepSeq Nottingham",COVID-19 Genomics UK (COG-UK) Consortium,Gemma Clark et al
England/NOTT-111DB9/2020|2020-06-08,England/NOTT-111DB9/2020,EPI_ISL_472405,"Queens Medical Centre, Clinical Microbiology Department / DeepSeq Nottingham",COVID-19 Genomics UK (COG-UK) Consortium,Gemma Clark et al
Finland/1/2020|2020-01-29,Finland/1/2020,EPI_ISL_407079,Lapland Central Hospital,"Department of Virology, University of Helsinki and Helsinki University Hospital, Helsinki, Finland",Teemu Smura et al
Finland/FIN-25/2020|2020-02-25,Finland/FIN-25/2020,EPI_ISL_412971,"HUS Diagnostiikkakeskus, Hallinto","Department of Virology Faculty of Medicine, Medicum University of Helsinki",Teemu Smura et al
Finland/FIN03032020B/2020|2020-03-03,Finland/FIN03032020B/2020,EPI_ISL_413603,"Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland","Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland",Teemu Smura et al
France/B2330/2020|2020-02-26,France/B2330/2020,EPI_ISL_416502,CHRU Pontchaillou - Laboratoire de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Mélnie Albert et al
France/GE6058/2020|2020-04-15,France/GE6058/2020,EPI_ISL_443308,Plaisance,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Mélanie Albert et al
France/HF1463/2020|2020-02-21,France/HF1463/2020,EPI_ISL_429968,Centre Hospitalier Compiègne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Mélanie Albert et al
France/HF1465/2020|2020-02-21,France/HF1465/2020,EPI_ISL_418218,Centre Hospitalier Compiègne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Mélanie Albert et al
France/HF3293/2020|2020-03-23,France/HF3293/2020,EPI_ISL_421510,CH Compiègne Laboratoire de Biologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Mélanie Albert et al
France/IDF0372/2020|2020-01-23,France/IDF0372/2020,EPI_ISL_406596,"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris","National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Mélanie Albert et al
France/IDF0373/2020|2020-01-23,France/IDF0373/2020,EPI_ISL_406597,"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris","National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Mélanie Albert et al
